StationID,Latitude,Longitude,Title,TotalCapacity_kW,StationType,Bands
269,50.264909,-5.121183,,132.0,Fast site,Fast (8–49kW)
270,50.260611,-5.069132,,132.0,Fast site,Fast (8–49kW)
271,51.94899331949851,-1.1970806121826172,,132.0,Fast site,Fast (8–49kW)
272,56.39451,-3.42968,,130.0,Fast site,Fast (8–49kW)
273,58.117414,-3.654178,,129.0,Fast site,Fast (8–49kW)
274,52.208991,-0.942971,,127.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
275,52.0311422831483,1.20041202804947,,126.0,Fast site,Slow (3–8kW)
276,56.45734,-2.97325,,126.0,Fast site,Slow (3–8kW)
277,55.868895,-4.295799,,126.0,Fast site,Slow (3–8kW)
278,51.4042130906851,-0.240181292590373,,126.0,Fast site,Slow (3–8kW)
279,51.507979,0.027732,,126.0,Fast site,Slow (3–8kW)
280,51.542902,-0.007694,,123.0,Fast site,Slow (3–8kW)
281,54.07958413656689,-0.1962293115871602,,120.0,Fast site,Fast (8–49kW)
282,51.558064,-0.07561,,119.0,Fast site,Slow (3–8kW)
283,53.712629,-1.746352,,117.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
284,53.713912,-1.743583,,117.0,Fast site,Fast (8–49kW);Rapid (50–149kW)
285,52.4102818,-1.5446701,,117.0,Fast site,Fast (8–49kW);Slow (3–8kW)
286,53.251034,-0.601327,,116.0,Fast site,Fast (8–49kW)
287,54.27536396944595,-0.4002586255765266,,116.0,Fast site,Fast (8–49kW);Slow (3–8kW)
288,51.08715,1.03081,,116.0,Fast site,Fast (8–49kW);Slow (3–8kW)
289,51.15821933,-2.98606946,,116.0,Fast site,Fast (8–49kW);Slow (3–8kW)
290,55.850036,-4.272882,,115.0,Fast site,Fast (8–49kW)
291,53.8074782797036,-1.5561052159386,,112.0,Fast site,Slow (3–8kW)
292,50.930661,-1.758997,,112.0,Fast site,Slow (3–8kW)
293,51.510049,-0.221775,,112.0,Fast site,Slow (3–8kW)
294,51.510074,-0.221946,,112.0,Fast site,Slow (3–8kW)
295,53.798528,-1.538222,,112.0,Fast site,Slow (3–8kW)
296,51.4207794,-0.4145946,,112.0,Fast site,Slow (3–8kW)
297,53.4671105,-2.2467633,,112.0,Fast site,Slow (3–8kW)
298,52.513889,-0.661111,,112.0,Fast site,Slow (3–8kW)
299,54.69828090785597,-5.957496468595991,,110.0,Fast site,Fast (8–49kW)
300,54.57655888754823,-5.907399562193774,,110.0,Fast site,Fast (8–49kW)
301,54.42707691690083,-2.968508695910941,,110.0,Fast site,Fast (8–49kW)
302,50.93290441,-2.93569842,,110.0,Fast site,Fast (8–49kW)
303,51.297514192580536,-0.3314189795013647,,110.0,Fast site,Fast (8–49kW)
304,51.48483056432861,-0.1274760809796263,,110.0,Fast site,Fast (8–49kW)
305,53.87478729089284,-2.394649614183095,,110.0,Fast site,Fast (8–49kW)
306,53.748843259192085,-0.3234145114982993,,110.0,Fast site,Fast (8–49kW)
307,55.867818,-3.195695,,110.0,Fast site,Fast (8–49kW)
308,55.215594,-6.544306,,110.0,Fast site,Fast (8–49kW)
309,51.6157944,-0.130454099999952,,110.0,Fast site,Fast (8–49kW)
310,51.522472,-0.170298,,108.0,Fast site,Fast (8–49kW)
311,51.47556,-0.18319,,105.0,Fast site,Slow (3–8kW)
312,55.95479,-3.1885916,,105.0,Fast site,Slow (3–8kW)
313,55.9547941,-3.1885799,,105.0,Fast site,Slow (3–8kW)
314,55.95479,-3.1885916,,105.0,Fast site,Slow (3–8kW)
315,50.7691745499185,0.285557275115025,,105.0,Fast site,Slow (3–8kW)
316,51.50655,-0.34587,,105.0,Fast site,Slow (3–8kW)
317,53.77784,-1.47994,,105.0,Fast site,Slow (3–8kW)
318,51.438808,0.270969199999968,,105.0,Fast site,Slow (3–8kW)
319,51.542919,-0.008717,,105.0,Fast site,Slow (3–8kW)
320,51.5556054981184,-0.283548460865859,,105.0,Fast site,Slow (3–8kW)
321,52.9669,-1.2178,,104.0,Fast site,Slow (3–8kW)
322,51.48163313,-0.06094236,,102.0,Fast site,Fast (8–49kW);Slow (3–8kW)
323,51.511872,-2.158885,,102.0,Fast site,Fast (8–49kW)
324,51.687115,-0.221815,,102.0,Fast site,Fast (8–49kW)
325,51.316586,0.893619,,102.0,Fast site,Fast (8–49kW);Slow (3–8kW)
326,51.750029,-0.328241,,102.0,Fast site,Fast (8–49kW);Slow (3–8kW)
327,51.1567720877935,-1.34391050527962,,102.0,Fast site,Fast (8–49kW)
328,51.156913,-1.346844,,102.0,Fast site,Fast (8–49kW)
329,55.9538792744869,-4.03436382537847,,102.0,Fast site,Fast (8–49kW);Slow (3–8kW)
330,54.55448933,-0.8865894454,,102.0,Fast site,Fast (8–49kW);Slow (3–8kW)
331,52.8999994,-1.4540743,,102.0,Fast site,Fast (8–49kW);Slow (3–8kW)
332,51.477402,-2.706834,,102.0,Fast site,Fast (8–49kW)
333,51.3808970964092,-0.123587525137204,,102.0,Fast site,Fast (8–49kW)
334,51.56420951802539,-1.7972215728939318,,100.8,Fast site,Slow (3–8kW)
335,54.54176170903696,-1.9156050473843609,,100.0,Fast site,Fast (8–49kW);Slow (3–8kW)
