RowID,StationID,Latitude,Longitude,Capacity_kW,Quantity,Level_OCM,DfT_Level
5556,279347,52.91459034649901,-1.4778584202661023,200.0,2,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5557,279347,52.91459034649901,-1.4778584202661023,200.0,2,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5558,279327,51.57568076250723,-1.73466176380947,7.0,1,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5559,279327,51.57568076250723,-1.73466176380947,7.0,1,Level 2 : Medium (Over 2kW),Slow (3–8kW)
5560,279302,54.37773231007682,-7.31384293080302,24.0,1,Level 3:  High (Over 40kW),Fast (8–49kW)
5561,279302,54.37773231007682,-7.31384293080302,11.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5562,279228,57.18248709135551,-3.8326396030986416,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5563,279228,57.18248709135551,-3.8326396030986416,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5564,279228,57.18248709135551,-3.8326396030986416,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5565,279228,57.18248709135551,-3.8326396030986416,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5566,279228,57.18248709135551,-3.8326396030986416,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5567,279228,57.18248709135551,-3.8326396030986416,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5568,279227,57.06572212846842,-4.120262565478697,50.0,1,Level 3:  High (Over 40kW),Rapid (50–149kW)
5569,279227,57.06572212846842,-4.120262565478697,50.0,1,Level 2 : Medium (Over 2kW),Rapid (50–149kW)
5570,279227,57.06572212846842,-4.120262565478697,22.0,1,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5571,279182,51.24698581964327,-0.3311748297738575,250.0,8,Level 3:  High (Over 40kW),Ultra-rapid (150kW+)
5572,279171,57.04551049,-3.045497761,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5573,279170,52.2310481,-0.57030869,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5574,279169,52.23240523,-0.566040642,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5575,279168,52.23146296,-0.565203246,22.0,4,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5576,279167,51.31337891,0.725687643,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5577,279166,51.31278726,0.72497452,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5578,279165,51.31265386,0.727923159,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5579,279164,51.315301,0.724401956,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
5580,279163,50.70118852,-2.311980669,22.0,2,Level 2 : Medium (Over 2kW),Fast (8–49kW)
